"project.id","country","p.invest","p.year","environmental","other"
"p180163","dominican ",2e+08,2028,1,0
"p179112","barbados",0,2024,1,0
"p178888","  brazil",1893500000,2028,1,0
"p180033"," colombia",0,2023,1,0
"p178591"," peru",0,2025,1,0
"p178609","argentina ",2e+08,2028,0,1
"p178636"," ecuador",0,2023,1,0
"p178122","dominican ",0,2026,1,0
"p177957","  brazil",930000,2024,1,0
"p175320"," paraguay",1.05e+08,2028,0,1
"p172497","  brazil",24577982,2027,1,0
"p175979"," guatemala",0,2024,1,0
"p174535"," panama",7500000,2026,1,0
"p178339","  brazil",5e+07,2028,0,1
"p175672"," bolivia",351200000,2027,1,0
"p176559","st vincent and  grenadines",101146300,2028,0,1
"p177070","  brazil",5e+07,2028,0,1
"p175143","argentina ",2.8e+08,2028,1,0
"p172893","latin america",12844037,2027,0,1
"p178285"," paraguay",0,2023,1,0
"p178564"," ecuador",86794173,2027,1,0
"p170846"," dominica",3515982,2027,1,0
"p175930"," panama",0,2023,1,0
"p176532"," honduras",7.5e+07,2028,0,1
"p178729","  brazil",0,2024,1,0
"p177001"," honduras",0,2025,1,0
"p178320"," costa rica",1.2e+08,2024,0,1
"p177741","  guyana",4.4e+07,2027,0,1
"p172753","sint maarten",26780000,2025,1,0
"p177807"," dominica",0,2025,1,0
"p175847"," dominica",0,2023,1,0
"p176581","dominican ",6e+08,2026,1,0
"p178067","argentina ",6.75e+08,2027,1,0
"p178224","mexico",0,2023,1,0
"p177210"," haiti",1.2e+08,2028,1,0
"p176663","grenada",0,2023,1,0
"p174986","organization of eastern caribbean states",2.7e+07,2027,1,0
"p175720","grenada",1.5e+07,2027,0,1
"p178563","  brazil",2.5e+08,2027,0,1
"p171833","organization of eastern caribbean states",6e+07,2027,1,0
"p177632","  brazil",0,2024,1,0
"p168634","  brazil",1.3e+08,2027,0,1
"p176221"," ecuador",6e+05,2023,1,0
"p172980","st vincent and  grenadines",3650000,2027,0,1
"p175874","dominican ",0,2023,1,0
"p177765"," peru",0,2023,1,0
"p176788"," colombia",0,2023,1,0
"p176006"," colombia",2.94e+08,2026,0,1
"p176877","  brazil",130000,2022,1,0
"p177072"," haiti",1.02e+08,2027,1,0
"p172592","belize",45700000,2027,1,0
"p174191"," panama",0,2025,1,0
"p175669","argentina ",6e+07,2027,1,0
"p176781","argentina ",2.5e+08,2026,0,1
"p177987","belize",6200000,2024,0,1
"p176297"," peru",1.25e+08,2027,0,1
"p176983"," ecuador",0,2023,1,0
"p176105","  uruguay",4e+07,2027,0,1
"p170854"," el salvador",4e+06,2026,1,0
"p178181"," peru",5.03e+08,2022,0,1
"p176650"," colombia",0,2025,1,0
"p176905","argentina ",5.5e+08,2027,1,0
"p176943","st vincent and  grenadines",4.2e+07,2026,1,0
"p176232","  uruguay",52500000,2026,1,0
"p176505"," colombia",0,2023,0,1
"p175988","  brazil",1e+05,2023,0,1
"p175745","latin america",2600800,2023,1,0
"p170848","dominican ",4063927,2026,1,0
"p173743"," haiti",1.05e+08,2027,0,1
"p175801"," colombia",0,2023,1,0
"p174730"," peru",3499797,2022,0,1
"p174812"," peru",0,2026,1,0
"p167132"," guatemala",52500000,2025,1,0
"p173484"," panama",358900,2023,0,1
"p161316","st lucia",21862000,2025,1,0
"p172079","mexico",13761468,2026,1,0
"p174786"," costa rica",0,2022,1,0
"p175616","latin america",23244416,2024,1,0
"p174707"," haiti",105600000,2026,1,0
"p176387"," peru",0,2022,0,1
"p175492","barbados",0,2022,1,0
"p174177"," peru",85970000,2026,0,1
"p173012","jamaica",16365000,2024,1,0
"p173464","caribbean",13900000,2027,1,0
"p174244","  guyana",6700000,2024,0,1
"p174328"," honduras",146100000,2027,1,0
"p172535"," colombia",136700000,2026,1,0
"p171778","dominican ",43500000,2026,1,0
"p175490","  bahamas",0,2022,1,0
"p175126"," colombia",0,2022,1,0
"p175111"," colombia",3248882,2022,1,0
"p170391"," guatemala",4500000,2026,1,0
"p175138","argentina ",382767500,2026,0,1
"p174946","argentina ",88900000,2025,0,1
"p164134"," nicaragua",2739800,2025,1,0
"p174440"," peru",0,2022,1,0
"p173017","caribbean",5e+05,2025,1,0
"p174927"," dominica",0,2021,1,0
"p172611","sint maarten",1.2e+07,2025,0,1
"p174531","jamaica",0,2022,1,0
"p174111"," haiti",7.5e+07,2027,0,1
"p172689","argentina ",576605000,2026,1,0
"p173621","  brazil",1300000,2021,1,0
"p161182","dominican ",2.5e+07,2025,1,0
"p175878"," nicaragua",8e+07,2025,0,1
"p172647","mexico",2.25e+08,2026,0,1
"p174150","mexico",0,2021,0,1
"p174346","st lucia",0,2021,1,0
"p173480"," guatemala",1.79e+08,2026,1,0
"p175977"," honduras",1.5e+08,2026,1,0
"p173698"," guatemala",0,2022,1,0
"p174000","mexico",0,2021,1,0
"p174527","grenada",0,2021,0,1
"p172455","  brazil",0,2022,1,0
"p173823"," nicaragua",2e+07,2025,0,1
"p174107"," panama",0,2021,1,0
"p160368"," costa rica",6e+07,2025,1,0
"p174677"," nicaragua",6770000,2022,0,1
"p175268","  guyana",7500000,2023,0,1
"p174115"," ecuador",0,2021,1,0
"p174197","  brazil",1e+09,2022,1,0
"p172582","sint maarten",4488000,2024,1,0
"p171976"," haiti",6e+07,2026,0,1
"p173424"," colombia",0,2022,1,0
"p173283"," ecuador",4e+07,2026,0,1
"p172605","  brazil",2.5e+08,2024,0,1
"p172899"," ecuador",0,2025,0,1
"p173989"," trinidad and tobago",2e+07,2024,0,1
"p171474"," haiti",0,2022,1,0
"p174145","dominican ",0,2021,0,1
