"project.id","country","p.n","p.do","p.cdate","p.invest","p.year"
"p180163","dominican republic","dominican republic hurricane fiona emergency response project","the objectives of the project are to support the dominican republics emergency response and recovery needs and to strengthen its in stitutional capacity to manage risks posed by natural hazards and the effects of climate change",2028-01-24,2e+08,2028
"p179112","barbados","barbados green and resilient recovery dpl",NA,2024-03-30,0,2024
"p178888","federative republic of brazil","brazil climate finance project",NA,2028-04-30,1893500000,2028
"p180033","republic of colombia","colombia green and resilient dpo","the development objective is to accelerate climate action by i advancing the lowcarbon energy transition ii promoting sustaina ble land use and iii building resilience and adaptation to climate change",2023-12-31,0,2023
"p178591","republic of peru","peru sustainable growth and finance dpfddo","the program development objective is to support government reforms to i strengthen fiscal resilience and efficiency ii foster a  more inclusive and competitive financial sector and iii promote greener production",2025-12-29,0,2025
"p178609","argentine republic","strengthening data infrastructure to close the digital gap in argentina project","the pdo is to strengthen the data infrastructure foundations to increase digital resilience to foster digital uptake in argentina  and to respond effectively in case of an eligible crisis or emergency",2028-01-31,2e+08,2028
"p178636","republic of ecuador","ecuador second green and resilient recovery dpf egarr dpf2",NA,2023-12-15,0,2023
"p178122","dominican republic","dominican republic second drm development policy loan with a catastrophe deferred drawdown option",NA,2026-01-15,0,2026
"p177957","federative republic of brazil","brazil dgm for indigenous people and traditional communities phase 2","to support the adoption and dissemination of sustainable and resilient natural resource management knowledge and livelihood practice s among indigenous peoples quilombolas and traditional communities in the cerrado biome",2024-11-30,930000,2024
"p175320","republic of paraguay","asuncion riverfront urban resilience project",NA,2028-12-29,1.05e+08,2028
"p172497","federative republic of brazil","sustainable multiple use landscape consortia in brazil","to increase the area under sustainable land management and promote the integration of food systems and sustainable landscapes conse rvation of biodiversity and recovery of degraded areas in selected beef cattle and soybean landscapes",2027-11-30,24577982,2027
"p175979","republic of guatemala","second crisis response and recovery in guatemala development policy loan",NA,2024-01-31,0,2024
"p174535","republic of panama","support to panama ppp program development for recovery project","the objective of the project is to strengthen institutional capacity for mobilizing private capital to finance and manage infrastruc tures and services in the republic of panama",2026-12-31,7500000,2026
"p178339","federative republic of brazil",NA,"improve efficiency in public resource management in selected departments of the state of mato grosso",2028-06-30,5e+07,2028
"p175672","plurinational state of bolivia","innovation for resilient food systems alianzas rurales  par iii project","contribute to increased food security market access and the adoption of climatesmart approaches by targeted project beneficiaries",2027-11-30,351200000,2027
"p176559","st vincent and the grenadines","strengthening health system resilience project",NA,2028-09-29,101146300,2028
"p177070","federative republic of brazil",NA,"improve efficiency in public resource management in selected departments of the state of alagoas",2028-03-31,5e+07,2028
"p175143","argentine republic","innovation program for smart growth pincri","the project development objective is to increase innovationled sustainable growth by strengthening the national innovation system a nd facilitating access to capital",2028-08-30,2.8e+08,2028
"p172893","latin america",NA,NA,2027-09-30,12844037,2027
"p178285","republic of paraguay","paraguay green and resilient dpl","the program development objective is to i mobilize private capital for climate resilience and mitigation ii promote climate res ilience and mitigation in select sectors of the economy and iii enhance fiscal transparency for climate action",2023-12-15,0,2023
"p178564","republic of ecuador","strengthening the national statistical system in ecuador project","the proposed project development objective is to improve the national statistical capacity of ecuador in the production and dissemin ation of timely and highquality economic and sociodemographic statistics for evidencebased policymaking",2027-07-28,86794173,2027
"p170846","commonwealth of dominica","leveraging ecotourism for biodiversity protection in dominica",NA,2027-06-30,3515982,2027
"p175930","republic of panama","panama pandemic response and growth recovery development policy loan 2","the objective of this operation is to protect human capital during the covid19 crisis while strengthening institutions to foster h uman capital accumulation and support a more inclusive and sustainable economic recovery",2023-12-29,0,2023
"p176532","republic of honduras","restoring essential services for health and advancing preparedness for emergencies project","the objectives of the project are to i improve utilization of reproductive and child health services in priority regions ii st rengthen public health capacities for emergency preparedness and iii in case of an eligible crisis or emergency respond promptly  and effectively to it",2028-11-30,7.5e+07,2028
"p178729","federative republic of brazil","rio de janeiro adjustment and sustainable development policy loan","the program development objective of this programmatic series is to support the municipality of rio de janeiro in i strengthening  fiscal management to improve mediumterm fiscal sustainability and ii accelerating the transition towards a lowcarbon resilien t and inclusive urban development ",2024-12-31,0,2024
"p177001","republic of honduras","honduras second disaster risk management development policy credit with a catastrophe deferred drawdown option cat ddo","the pdo is to consolidate and expand honduras institutional regulatory policy and financial framework to manage disaster and clim aterelated risks including disease outbreaks",2025-06-30,0,2025
"p178320","republic of costa rica","costa rica covid19 vaccines project","the objective of the project is to increase covid19 vaccination coverage among the population of the republic of costa rica",2024-06-10,1.2e+08,2024
"p177741","cooperative republic of guyana","guyana strengthening human capital through education project","the project development objective pdo is to improve i access and learning conditions in secondary education and ii access to  technical and vocational education and training aligned with identified labor market needs",2027-06-30,4.4e+07,2027
"p172753","sint maarten","fostering resilient learning project","the objectives of the project are to i restore access to an adequate and inclusive learning environment and to reestablish librar y services and ii improve the availability of quality data for decision making",2025-06-30,26780000,2025
"p177807","commonwealth of dominica","dominica disaster risk management development policy financing  with a catastrophe deferred drawdown option","the development objective of the proposed operation is to support the government of the commonwealth of 
dominica in a strengthen ing the legal and institutional framework to increase climate and disaster resilience in 
priority sectors and b improving nation al fiscal capacity to respond to disaster and climaterelated risks",2025-05-06,0,2025
"p175847","commonwealth of dominica","dominica second covid19 response and recovery dpc","the operation seeks to support dominica in its covid19 pandemic response and recovery by i saving lives protecting livelihoods and preserving jobs and ii strengthening fiscal policies public financial management and debt transparency for a climate resilie nt recovery",2023-03-31,0,2023
"p176581","dominican republic","support to the national housing program project","the objective of the project is to increase access to affordable and resilient housing for eligible households in the dominican repu blic",2026-06-30,6e+08,2026
"p178067","argentine republic",NA,"to improve accessibility in the area of influence of the belgrano sur line in an inclusive safe and environmentally sustainable ma nner and to respond effectively in case of an eligible crisis or emergency",2027-12-31,6.75e+08,2027
"p178224","united mexican states","mexico inclusive and sustainable economic growth dpl","the dpl supports policy measures of the authorities that a support vulnerable groups and regions to reap the benefits of economic  recovery and b reform key policies and institutions that enable sustainable economic growth",2023-12-31,0,2023
"p177210","republic of haiti","resilient connectivity and  urban transport accessibility project",NA,2028-05-31,1.2e+08,2028
"p176663","grenada","grenada first recovery and resilience programmatic dpc",NA,2023-12-31,0,2023
"p174986","organization of eastern caribbean states","oecs data for decision making ddm project","to improve the capacity of participating eastern caribbean countries to i produce and publicly disseminate statistical data for co untry and regional level analytics and ii provide immediate and effective response to an eligible emergency",2027-06-30,2.7e+07,2027
"p175720","grenada","grenada resilience improvement project",NA,2027-05-31,1.5e+07,2027
"p178563","federative republic of brazil","recovering learning losses from covid19 pandemic in brazil",NA,2027-12-31,2.5e+08,2027
"p171833","organization of eastern caribbean states","unleashing the blue economy of the caribbean ubec","to strengthen the enabling environment for the blue economy economic recovery and resilience of selected coastal assets in partici pating countries and provide immediate and effective response to an eligible emergency",2027-07-30,6e+07,2027
"p177632","federative republic of brazil","br state of goias sustainable recovery dpf",NA,2024-12-31,0,2024
"p168634","federative republic of brazil","parana public sector modernization and innovation for service delivery operation","the program development objectives are to respond to the covid19 pandemic and improve the efficiency of health and other priority p ublic services",2027-10-31,1.3e+08,2027
"p176221","republic of ecuador","implementation of the extractives industry transparency initiative eiti in ecuador","to assist the government of ecuador in increasing operational capacity of the technical secretariat and the multistakeholder group msg on implementing eiti this will increase transparency and accountability in the extractives sector by using government informa tion systems for disclosing data and promoting a better understanding of the extractive industries value chain",2023-08-31,6e+05,2023
"p172980","st vincent and the grenadines","coastal and marine ecosystems management strengthening project","to strengthen the management of coastal and marine ecosystems of st vincent and the grenadines",2027-04-30,3650000,2027
"p175874","dominican republic","electricity reform for sustainable growth development policy loan","the development objective is to establish the policy foundations for i strengthening sector governance ii enhancing climate re silience and social and environmental sustainability and iii improving the financial selfsufficiency and operational performance  of the electricity sector",2023-09-30,0,2023
"p177765","republic of peru","peru enabling a green and resilient development dpf","the program development objective is to support government policies to i strengthen the foundations for a green economic recovery  ii build resilience and enhance climate change adaptation and iii support the transition towards a greener economy in selected  sectors",2023-06-30,0,2023
"p176788","republic of colombia","equitable and green recovery  development policy financing","the development objective of the proposed operation is to support measures that i reduce income inequalities including genderrel ated and build resilience ii promote economywide decarbonization and climate adaptation and iii mitigate climate change by p rotecting biodiversity and reducing deforestation",2023-03-24,0,2023
"p176006","republic of colombia","program for improving learning outcomes and socioemotional education promise","to improve pedagogical and management practices in the education sector",2026-06-30,2.94e+08,2026
"p176877","federative republic of brazil","governance risk assessment system brazil scaleup","improve the process of detecting fraud in public expenditure identify savings and increase the effectiveness of audits using data s cience",2022-12-31,130000,2022
"p177072","republic of haiti","emergency resilient agriculture for food security project",NA,2027-02-26,1.02e+08,2027
"p172592","belize","climate resilient and sustainable agriculture project","the project development objectives are to i increase agricultural productivity and the adoption of climatesmart agricultural app roaches among project beneficiaries and ii respond effectively to an eligible crisis or emergency event",2027-03-31,45700000,2027
"p174191","republic of panama","second panama disaster risk management development policy loan with a cat ddo","the pdo is to enhance the government of panamas technical and institutional capacity to manage the disaster risk resulting from the  occurrence of natural and healthrelated hazards including the adverse effects of climate change and disease outbreaks",2025-03-14,0,2025
