Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P078216,Latin America and Caribbean,Belize,Closed,Community Managed Sarstoon Temash Conservation Project(COMSTEC),Final Project Completion Report has been delivered.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P078216,2002-10-16T00:00:00Z,,,,1068180,,,1068180,,,Specific Investment Loan,C,,"Other Agriculture, Fishing and Forestry",Social Protection,,,
P073817,Latin America and Caribbean,Republic of Peru,Closed,Programmatic Social Reform Loan Project (02),"Project Development Objective (Note: will be disclosed in the MOS) The second phase of the Programmatic Social Reform Loan will strengthen and consolidate the decisions and actions taken under the first operation.  It will support among others, a) the development of crisis managem ent mechanisms to assist the transient poor/vulnerable and prevent them from falling into chronic poverty; b) a modernization and capacity building program aimed at strengthening government capacity for social policy f ormulation and program design, improving inter-agency coordination, rationalizing mandates, and strengthening monitoring and evaluation; and c) continuation of reforms that would help rationalize expenditures and decen tralize services  in health, nutrition, education sectors, as well as facilitat e the access of the poor to theses services.  Board Schedule Comments",,,https://projects.worldbank.org/en/projects-operations/project-detail/P073817,2002-09-17T00:00:00Z,12/31/2002,,,100000000,,,100000000,,,Programmatic Structural Adjustment Loan,U,,Social Protection,Health,Other Education,,
P054937,Latin America and Caribbean,Dominican Republic,Closed,Early Childhood Education Project,.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P054937,2002-09-05T00:00:00Z,8/30/2011,,,63000000,,,63000000,,,Specific Investment Loan,B,,Early Childhood Education,Social Protection,Central Government (Central Agencies),,
P075871,Latin America and Caribbean,Federative Republic of Brazil,Active,PCF Minas Gerais Plantar Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P075871,2002-09-04T00:00:00Z,10/31/2024,,,51300000,,,51300000,,,Investment Project Financing,B,,Forestry,Renewable energy,,,
P065256,Latin America and Caribbean,Republic of Peru,Closed,PE NATIONAL RURAL WATER SUPPLY AND SANITATION PROJECT,Increase coverage and sustainable use of water and sanitation services in rural  areas and small towns while adopting improved hygiene practices and training in  O&M,,,https://projects.worldbank.org/en/projects-operations/project-detail/P065256,2002-08-29T00:00:00Z,6/30/2013,,,80000000,,,80000000,,,Specific Investment Loan,B,,Sanitation,Water Supply,Sub-National Government,,
P080263,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,SPECIAL STRUCTURAL ADJUSTMENT LOAN,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P080263,2002-08-08T00:00:00Z,12/31/2004,,,151520000,,,151520000,,,Special Structural Adjustment Loan,U,,Central Government (Central Agencies),Social Protection,Banking Institutions,,
P058503,Latin America and Caribbean,Federative Republic of Brazil,Closed,Amazon Region Protected Areas (GEF),"The overall objective of the Amazon Region Protected Areas Project (ARPA or the Project) is to expand and consolidate the protected areas (PAs) system in the Amazon region of Brazil. The proposed Project would be the first phase (Phase 1) of a 10-year ARPA program. The Project's objective will be achieved by: Creating 18 million hectares in new protected areas (9 million hectares of strict protection PAs and 9 million hectares of sustainable use. The 11 Sustainable use protected areas have the goal of conserving biodiversity as well as supporting the communities living in them. These protected areas are regulated by management plans that include various use zones, some of which protect key environmental values of these areas , including, in particular, a strict protection zone. ARPA will support only surveillance and enforcement activities in the sustainable use protected areas to ensure ecological integrity and biodiversity conservation. ,, Other objectives include: -,,Consolidating the management of 7 million hectares of existing strict protection PAs in addition to 9 million hectares of the newly created strict protection PAs,, -,,Establishing and operating an endowment fund to meet the recurrent costs of protected areas,, -,,Establishing and operating a biodiversity monitoring and evaluation system at the protected area and regional levels  The key performance indicators for Phase I are: -,, 23 ecoregions in the Brazilian Amazon analyzed for identification of new PAs -,,18 million hectares of new PAs (9 million hectares of strict protection PAs and 9 million hectares of sustainable use PAs) created -,,7 million hectares of existing strict protection PAs and 3 million hectares of new strict protection PAs consolidated and managed -,,An endowment fund for financial sustainability of existing strict protection PAs established and capitalized with a minimum of US$14.5 million -,,Demonstration projects for financial sustainability of PAs implemented -,,An environmental monitoring methodology for specific PAs defined and -,,Program Committee, Conflict Mediation Committee, and two project coordination units (one in the Ministry of Environment (MMA) and one in the Brazilian Biodiversity Fund (FUNBIO) created and operational",,,https://projects.worldbank.org/en/projects-operations/project-detail/P058503,2002-08-08T00:00:00Z,12/31/2008,,,81500000,,,81500000,"60,900,000",,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",Central Government (Central Agencies),Sub-National Government,,
P077172,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Uruguay Structural Adjustment Loan (PREM),"Project Development Objective (Note: will be disclosed in the MOS) The loan will include policy measures in four main areas: (i) fi scal policy, including public expenditures and revenues; (ii) the public housing bank, which is a potential drain on scarce fiscal resources, apart from its impact on the rest of the financial sector; and (iii) social protention progr ams, including unemployment insurance, which absorbs a large portion of public expenditures and faces increasing dema nd due to the current crisis.  Board Schedule Comments",,,https://projects.worldbank.org/en/projects-operations/project-detail/P077172,2002-08-08T00:00:00Z,12/31/2004,,,151520000,,,151520000,,,Structural Adjustment Loan,U,,Central Government (Central Agencies),Social Protection,Banking Institutions,,
P074539,Latin America and Caribbean,United Mexican States,Closed,Programmatic Environment Structural Adjustment Loan,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P074539,2002-08-06T00:00:00Z,12/31/2003,,,202020000,,,202020000,,,Programmatic Structural Adjustment Loan,U,,Other Public Administration,"Other Water Supply, Sanitation and Waste Management","Other Industry, Trade and Services",,
P069861,Latin America and Caribbean,Republic of Colombia,Closed,Social Sector Adjustment Loan Project,Project Development Objective (Note: will be disclosed in the MOS) To support reforms to improve the efficiency and equity of social sector programs.  Board Schedule Comments highly tentative,,,https://projects.worldbank.org/en/projects-operations/project-detail/P069861,2002-08-01T00:00:00Z,12/31/2002,,,545000000,,,545000000,,,Sector Adjustment Loan,C,,Health,Other Education,Social Protection,,
