Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P006349,Latin America and Caribbean,Federative Republic of Brazil,Closed,Power Transmission Project - CHESF - FURNAS,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006349,1985-06-04T00:00:00Z,12/31/1992,,,,,,,,,Specific Investment Loan,,,(Historic)Distribution and transmission,,,,
P006358,Latin America and Caribbean,Federative Republic of Brazil,Closed,Federal Railway Export Corridor Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006358,1985-05-30T00:00:00Z,12/31/1994,,,,,,,,,Specific Investment Loan,C,,Railways,,,,
P007583,Latin America and Caribbean,United Mexican States,Closed,Technical Training Project (02) - CONALEP Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007583,1985-05-28T00:00:00Z,6/30/1991,,,,,,,,,Specific Investment Loan,,,Vocational training,,,,
P006995,Latin America and Caribbean,Dominican Republic,Closed,Vocational Training - Education Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006995,1985-05-28T00:00:00Z,12/31/1990,,,,,,,,,Specific Investment Loan,C,,Vocational training,,,,
P006824,Latin America and Caribbean,Republic of Colombia,Closed,Trade Policy and Export Diversification Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006824,1985-05-23T00:00:00Z,6/30/1988,,,,,,,,,Sector Adjustment Loan,,,(Historic)Trade policy reform,,,,
P007582,Latin America and Caribbean,United Mexican States,Closed,Small and Medium Scale Mining Development Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007582,1985-05-21T00:00:00Z,12/31/1992,,,,,,,,,Financial Intermediary Loan,,,(Historic)Mining and other extractive,,,,
P007987,Latin America and Caribbean,Republic of Peru,Closed,Industrial Energy Conservation and Rationalization Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007987,1985-05-09T00:00:00Z,6/30/1990,,,,,,,,,Technical Assistance Loan,,,(Historic)Other power and energy conversion,,,,
P006359,Latin America and Caribbean,Federative Republic of Brazil,Closed,Technical Assistance Pilot Rural Water Supply and Sanitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006359,1985-05-07T00:00:00Z,9/30/1990,,,,,,,,,Technical Assistance Loan,,,(Historic)Other water supply and sanitation,,,,
P007290,Latin America and Caribbean,Republic of Haiti,Closed,Education and Training Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007290,1985-05-07T00:00:00Z,3/31/1992,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Education adjustment,,,,
P006380,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Rural Development Project (02) - RIO GRANDE DO NORTE,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006380,1985-04-30T00:00:00Z,12/31/1995,,,,,,,,,Specific Investment Loan,C,,General finance sector,"Other Agriculture, Fishing and Forestry","Other Industry, Trade and Services",,
P006345,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Rural Development Project (01) - SERGIPE,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006345,1985-04-30T00:00:00Z,12/31/1995,,,,,,,,,Specific Investment Loan,C,,General finance sector,"Other Agriculture, Fishing and Forestry","Other Industry, Trade and Services",,
P007581,Latin America and Caribbean,United Mexican States,Closed,Chiapas Agricultural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007581,1985-04-30T00:00:00Z,12/31/1993,,,,,,,,,Specific Investment Loan,,,(Historic)Agriculture adjustment,,,,
P007584,Latin America and Caribbean,United Mexican States,Closed,Chiapas Rural Roads Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007584,1985-04-30T00:00:00Z,6/30/1991,,,,,,,,,Specific Investment Loan,,,(Historic)Rural roads,,,,
P006933,Latin America and Caribbean,Republic of Costa Rica,Closed,Technical Assistance Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006933,1985-04-16T00:00:00Z,4/1/1991,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
P006923,Latin America and Caribbean,Republic of Costa Rica,Closed,Structural Adjustment Loan (SAL) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006923,1985-04-16T00:00:00Z,6/30/1986,,,,,,,,,Structural Adjustment Loan,,,(Historic)Economic management,,,,
P007071,Latin America and Caribbean,Republic of Ecuador,Closed,Public Sector Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007071,1985-04-16T00:00:00Z,3/31/1993,,,,,,,,,Technical Assistance Loan,,,(Historic)Public financial management,,,,
P006792,Latin America and Caribbean,Republic of Colombia,Closed,Water Supply Bogota Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006792,1985-04-02T00:00:00Z,6/30/1993,,,,,,,,,Specific Investment Loan,,,(Historic)Urban water supply,,,,
P007442,Latin America and Caribbean,Jamaica,Closed,Technical Assistance Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007442,1985-03-19T00:00:00Z,10/31/1991,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
P007822,Latin America and Caribbean,Republic of Panama,Closed,Power Project (07) Fortuna Stage Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007822,1985-03-19T00:00:00Z,12/31/1990,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P007195,Latin America and Caribbean,Republic of Guatemala,Closed,CHIXOY POWER II,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007195,1985-03-19T00:00:00Z,,,,,,,,,,Specific Investment Loan,,,(Historic)Thermal,,,,
P007176,Latin America and Caribbean,Grenada,Closed,Agricultural Rehabilitation and Crop Diversification Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007176,1985-03-14T00:00:00Z,12/31/1991,,,,,,,,,Specific Investment Loan,,,(Historic)Other agriculture,,,,
P006609,Latin America and Caribbean,Republic of Chile,Closed,Public Sector Management Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006609,1985-03-14T00:00:00Z,12/31/1990,,,,,,,,,Technical Assistance Loan,,,(Historic)Institutional Development,,,,
P007241,Latin America and Caribbean,Co-operative Republic of Guyana,Closed,FORESTRY SUPPL,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007241,1985-03-07T00:00:00Z,,,,,,,,,,Specific Investment Loan,,,Forestry,,,,
P006347,Latin America and Caribbean,Federative Republic of Brazil,Closed,Development Banking Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006347,1985-01-29T00:00:00Z,12/31/1990,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006348,Latin America and Caribbean,Federative Republic of Brazil,Closed,Science and Technology Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006348,1985-01-29T00:00:00Z,12/31/1991,,,,,,,,,Sector Investment and Maintenance Loan,C,,Vocational training,,,,
P008131,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Power Engineering Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008131,1985-01-08T00:00:00Z,6/30/1990,,,,,,,,,Technical Assistance Loan,,,(Historic)Other power and energy conversion,,,,
P006608,Latin America and Caribbean,Republic of Chile,Closed,Public Sector Housing Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006608,1984-12-20T00:00:00Z,12/31/1988,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P006606,Latin America and Caribbean,Republic of Chile,Closed,Agricultural Services and Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006606,1984-12-20T00:00:00Z,10/30/1991,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agricultural credit,,,,
P007291,Latin America and Caribbean,Republic of Haiti,Closed,Power Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007291,1984-11-20T00:00:00Z,6/30/1990,,,,,,,,,Sector Investment and Maintenance Loan,C,,(Historic)Thermal,,,,
P007441,Latin America and Caribbean,Jamaica,Closed,Structural Adjustment Loan - SAL Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007441,1984-11-20T00:00:00Z,6/30/1985,,,,,,,,,Structural Adjustment Loan,,,(Historic)Economic management,,,,
P006789,Latin America and Caribbean,Republic of Colombia,Closed,Petroleum Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006789,1984-11-06T00:00:00Z,6/30/1989,,,,,,,,,Specific Investment Loan,,,(Historic)Oil and gas exploration and development,,,,
P006787,Latin America and Caribbean,Republic of Colombia,Closed,Development Banking Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006787,1984-11-06T00:00:00Z,6/30/1990,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006791,Latin America and Caribbean,Republic of Colombia,Closed,Cucuta Water Supply and Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006791,1984-09-11T00:00:00Z,6/30/1995,,,,,,,,,Specific Investment Loan,C,,(Historic)Water supply and sanitation adjustment,,,,
P008130,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Agricultural Sector Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008130,1984-08-28T00:00:00Z,9/30/1986,,,,,,,,,Sector Adjustment Loan,,,(Historic)Agriculture adjustment,,,,
P007986,Latin America and Caribbean,Republic of Peru,Closed,Primary Education Project (Education 02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007986,1984-07-10T00:00:00Z,6/30/1991,,,,,,,,,Sector Investment and Maintenance Loan,,,Primary Education,,,,
P006788,Latin America and Caribbean,Republic of Colombia,Closed,Small Scale Industry Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006788,1984-07-10T00:00:00Z,12/31/1988,,,,,,,,,Financial Intermediary Loan,,,(Historic)Small scale enterprise,,,,
P007578,Latin America and Caribbean,United Mexican States,Closed,Agricultural Credit Project (08),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007578,1984-06-27T00:00:00Z,9/30/1988,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agricultural credit,,,,
P006780,Latin America and Caribbean,Republic of Colombia,Closed,Agricultural Diversification Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006780,1984-06-27T00:00:00Z,9/30/1992,,,,,,,,,Financial Intermediary Loan,,,(Historic)Other agriculture,,,,
P006782,Latin America and Caribbean,Republic of Colombia,Closed,Rio Grande Multipurpose Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006782,1984-06-21T00:00:00Z,6/30/1994,,,,,,,,,Specific Investment Loan,C,,(Historic)Other power and energy conversion,,,,
P007985,Latin America and Caribbean,Republic of Peru,Closed,Lima Metropolitan Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007985,1984-06-21T00:00:00Z,12/31/1991,,,,,,,,,Specific Investment Loan,,,(Historic)Urban management,,,,
P006339,Latin America and Caribbean,Federative Republic of Brazil,Closed,Health Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006339,1984-06-21T00:00:00Z,6/30/1992,,,,,,,,,Specific Investment Loan,,,(Historic)Basic health,,,,
P006342,Latin America and Caribbean,Federative Republic of Brazil,Closed,Federal Highway Sector Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006342,1984-06-21T00:00:00Z,12/31/1989,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Highways,,,,
P007580,Latin America and Caribbean,United Mexican States,Closed,Lazaro Cardenas Industrial Port Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007580,1984-06-21T00:00:00Z,12/31/1992,,,,,,,,,Specific Investment Loan,,,Ports/Waterways,,,,
P006784,Latin America and Caribbean,Republic of Colombia,Closed,FEN POWER YEN LOAN,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006784,1984-06-19T00:00:00Z,,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Other power and energy conversion,,,,
P006785,Latin America and Caribbean,Republic of Colombia,Closed,FEN POWER DOLLAR L,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006785,1984-06-19T00:00:00Z,,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Other power and energy conversion,,,,
P006078,Latin America and Caribbean,Barbados,Closed,Road Maintenance and Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006078,1984-05-31T00:00:00Z,12/31/1991,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Highways,,,,
P007579,Latin America and Caribbean,United Mexican States,Closed,Highway Sector Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007579,1984-05-29T00:00:00Z,6/30/1991,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Other transportation,,,,
P007363,Latin America and Caribbean,Republic of Honduras,Closed,Water Supply and Drainage Project - San Pedro Sula,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007363,1984-05-22T00:00:00Z,6/30/1995,,,,,,,,,Specific Investment Loan,C,,(Historic)Water supply and sanitation adjustment,,,,
P007440,Latin America and Caribbean,Jamaica,Closed,Public Administration Reform Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007440,1984-05-22T00:00:00Z,6/30/1988,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
